Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Country House,Stone,54 sq.m.,2,1,1,Major Renovation,26 sq.m.,Gegharkunik › Sevan,"$10,000",USD,Дача в центре города Севана от озера до дачи 10 минут пешком последняя цена 10000 доларов,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17004705,,,,,,
House,Stone,110 sq.m.,1,5,1,Old Renovation,2300 sq.m.,"Yeghbayrutyan Street, Yerevan","$28,000",USD,"Orchard, stone garage, private house, also adjacent land and landsNegotiable:Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17205045,,,,,,
House,Stone,305 sq.m.,2,4,1,No Renovation,1500 sq.m.,Gegharkunik › Gavar,"2,058,911 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Gegharkunik region, residential house at 13 Gavar Saringulyan str. , 305 square meters, land plot: 1500 square meters. The basement of the building, the walls are made of stone, the mezzanine is covered with reinforced concrete, the roof is made of metal panels, the entrance door is made of metal, the inside doors are missing, the windows are partly metal-plastic, some are missing, the floor is made of concrete, the interior is missing. Electricity, water. There is a cattle building - 147-6 square meters, a bathroom - 2-9 square meters, a fence - 2․2 square meters (4.4 square meters)You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and will be borne by the successful bidder.Translated from Armenian",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/17612600,,,,,,
House,Stone,3200 sq.m.,2,8+,2,Partial Renovation,,Gegharkunik › Gavar,"$48,000",USD,"Gegharkunik region Gavar region village * Gandzak *A two-storey private house is for sale near the village secondary school No. 2. The total area is 3200 square meters. It has a large cultivated land, fruit and fruit trees. It is provided with irrigation water.The house is provided with round-the-clock water supply, hot water, sewerage, heating system, equipped with gas and electricity.There is a basement in front of the house.The first floor has an entrance, a hall, a dining room, a rest room, a kitchen-pantry, a bathroom, a toilet, a sink. Built-in fireplace in the hall (used with both wood and electric fuel), which continues on the second floor. Built-in closet, storage.On the second floor there are 6 bedrooms, a bathroom, a spacious hall with 2 open balconies.The floor of the first and second floor halls is decorated with parquet.The private house can be used as a business center, medical center, workshop, for other purposes.The large plot of land provides a great opportunity to establish additional adjacent buildings.Price $ 48,000.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16003022,,,,,,
House,Stone,135 sq.m.,1,5,1,Major Renovation,,Gegharkunik › Vardenis,"$20,000",USD,"The house has all the communal facilities, the doors and the windows are euro. The house is completely renovated.Land area 26 sota has storage storage room storage can be used as a barn has fruit trees half-built garage permanent water and gas in the house has a bathroom ոգ bathroom price for contract details call. The house is located in Shatjrek village of VardenisTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/10991972,,,,,,
House,Stone,271 sq.m.,2,7,1,Old Renovation,6537 sq.m.,Gegharkunik › Gavar,"$27,000",USD,"For sale or trade with residence. Located around the Central Square. The area of the house consists of: Bakery- (23.12 sq. M.), chicken house- (32.12 sq. M.), san junction- (4.87 sq. M.), garage- (17.39 sq. M.), fence- (24.61 sq. M., 36.92 sq. M), roof - (9.71 square meters), house - (159.36 square meters), roof repaired (zinc) Price: Negotiable.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17243907,,,,,,
House,Stone,258 sq.m.,1,3,1,Old Renovation,2700 sq.m.,Gegharkunik › Jil,"$10,000",USD,"Վաճառվում է սեփական տուն։ Տունը գտնվում է գյուղի կենտրոնում, ունի մշտական ջուր, մեծ հողատարացք 2700 ք․մ, պտղատու ծառեր՝ խնձորի, ընկույզի, դանբուլի, մամուխի, շլորի, թթի, տանձի, ծիրանի, բալի, մորի՝ մեծ տարածցքով: Կա նկուղ՝ անբողջ տան մակերեսով։ ՈՒնի նաև գոմ։ Տունը գտնվում է Սևանի ափից 1․5 կմ․ հեռավորուտյան վրա։ Նաև ունի հացի փուռ։",Nov-24-2022_23-36,,,,,,https://list.am/en/item/12093879,,,,,,
House,Stone,90 sq.m.,1,3,1,Old Renovation,,"Mamikonyan street, Martuni","$23,000",USD,"The house is in good condition, there is a plot of land, trees, all the amenities for living, there is a barn next to it.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17675234,,,,,,
House,Stone,150 sq.m.,1,4,1,Partial Renovation,,Gegharkunik › Sevan,"$37,000",USD,"Продается одноэтажный дом, рассмотрим обмен на квартиру",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18222146,,,,,,
Country House,Stone,47 sq.m.,1,3,1,Major Renovation,47 sq.m.,Gegharkunik › Sevan,"$50,000",USD,"47 sq. M. Cottage for sale in Sjan.Consist of,From 2 bedroomsfrom the living roomfrom the bathroomRenovated.For sale together with furniture.The sale price is 50,000 USDCode: GS-T372Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/13872671,,,,,,
House,Stone,430 sq.m.,2,8+,1,Major Renovation,,Gegharkunik › Martuni,"$120,000",USD,"The private house is located in Martuni, next to the 1st school. Each floor is 215 square meters. The 2nd floor is residential, the 1st floor is a basement (summer kitchen) Overhauled, about 200 fruit trees of different types. The price is negotiable. Call for details and photos.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17030050,,,,,,
Country House,Stone,100 sq.m.,1,3,1,Old Renovation,1700 sq.m.,"Ստեփան Շահումյանի փողոց 10, Սևան","8,500,000 ֏",AMD,"It is available with all utilities, there is a garden with fruit trees on the land, the area is fenced from all sides, there is a cattle yard of 98 square meters.It is located in front of the school in Gomadzor district of Sevan city.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18200227,,,,,,
House,Stone,196 sq.m.,1,6,1,Old Renovation,3200 sq.m.,Gegharkunik › Mets Masrik,"$35,000",USD,"6-room private house in Mets Masrik village of Vardenis region (2nd street, house 11) is for sale or exchange (also with surcharge) with an apartment or a house in Yerevan. The area of the house is 196 m. Q (14 m * 14 m) It has 3200 m. Land near the house, garage, 5 ton barn of concrete grain, storage room, bakery, barn without roof. The area has two gate entrances, from the garage to the main yard. The house has two metal entrance doors, gas, constant hot-cold water, irrigation water. We made the windows and interior doors, they are made of wood, beautiful and quality.If desired, 2.4 hectares of irrigated arable land near the village will be provided.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16501610,,,,,,
House,Stone,130 sq.m.,2,5,2,Euro Renovation,150 sq.m.,"Կարմիր Բանակի փողոց 56, Սևան",€500,EUR,The apartment is sold together with the property. Please call for details. Can also be used for office space. The price is contractual.Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18197612,,,,,,
House,Stone,200 sq.m.,2,5,1,Partial Renovation,1200 sq.m.,"M-10 10, Tsovazard","$32,000",USD,"The house is located in the village of Tsovazard, 1 km from Lake Sevan. There is an orchard and arable land on the premises.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18047627,,,,,,
House,Stone,1470 sq.m.,1,2,1,Partial Renovation,,Gegharkunik › Chambarak,"7,000,000 ֏",AMD,"Private house and land for sale in Chambarak. Located in the immediate vicinity of the bus station. The total area is 1470 square meters, of which the building is 90 square meters.The roof of the house and the foundations, as well as part of the outside walls are fixed and repaired. The basement has been recently rebuilt with large stone tiles, cabinets, etc. , and is in excellent condition. There is a storage room next to the basement.The house has 1 residential floor: Bedroom, living room, kitchen, corridor, toilet-bathroom and open balcony. There is running water in the kitchen. The toilet-bathroom is tiled, fully furnished, with a toilet, a shower cabin, a mirror. There is also a 200 liter water tank with electric heating attached to the ceiling.The street is gasified, but there is no gas in the house.There is a well dug in the yard, which pumps water to the house, it is also suitable for irrigating the land.There is a small warehouse for agricultural tools on the plot. There are fruit trees of different ages: Apple, cherry, currant and raspberry bushes.Price is negotiable.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/13381731,,,,,,
House,Stone,63 sq.m.,2,3,1,Old Renovation,,Gegharkunik › Shoghakat,"$16,000",USD,"I am selling a 2-storey 4-room apartment near Lake Sevan, Shoghakat community (formerly Shorzha), has gas and water. They are also possible for rent, with partial property.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17293211,,,,,,
House,Monolith,140 sq.m.,1,4,1,Partial Renovation,1200 sq.m.,"Ազատության փողոց 16, Գավառ","$18,000",USD,"The house is suitable both as a summer house and as a place to live. There is water, light and gas in the house. The total area of the land is 1200 square meters, it has an auxiliary half-built building, a garage, there are fruit trees in the territory of the land. It is located in the middle of the Eagle Stone of Noradus, it has a very beautiful view. The inside of the house is plastered. Not repaired, visible in the pictures. It is privatized, there are all the documents. In case of other questions, call.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/14577324,,,,,,
House,Stone,100 sq.m.,1,4,1,Cosmetic Renovation,5000 sq.m.,Gegharkunik › Shoghakat,"$17,000",USD,"The house is in normal condition, there are 3 barns, it has a large area. There are fruit trees with detailed telephone. We have cattle. Large landTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17198053,,,,,,
House,Stone,1033 sq.m.,2,7,1,Cosmetic Renovation,1819 sq.m.,Gegharkunik › Chambarak,"$22,700",USD,"A two-story private stone house is for sale, it has permanent electricity, water, gas, there is a plot of land, arable garden next to the house, for price and questions, call the indicated numbersTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17899107,,,,,,
House,Stone,145 sq.m.,1,5,1,Partial Renovation,4500 sq.m.,Gegharkunik › Tsovazard,"$25,000",USD,"Negotiable: Has permanent gas. Light: Water. Has 500 sq / m arable land. Has an orchard. Bathroom and the bathroom is tiled. The kitchen is tiled. Has a building next to the house which can serve as a garage, shop.It has a basement, there is a barn at the back of the houseTranslated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/17292121,,,,,,
House,Stone,100 sq.m.,1,3,1,No Renovation,800 sq.m.,Gegharkunik › Martuni,"$32,000",USD,Has 790 square meters of land.Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17067895,,,,,,
House,Stone,1200 sq.m.,2,3,2,Major Renovation,,"Ազատության փողոց 21, Սևան","35,000 ֏ daily",AMD,"Վարձով է տրվում առանձնատուն Սևան քաղաքում:Տունը գտնվում է լճից 600 մետր հեռավորության վրա, Հարսնաքարի հարևանությամբ։Ընդհանուր մակերեսը կազմում է 1200քմ բնակելի` 110քմ, ննաջսենյակների քանակը՝ 3:Առանձնատունն ունի կաթսայատուն (BAXI), լվացքի մեքենա: Ապահովված է մշտական տաք և սառը ջրով:Վարձով տրամադրվում են նաև առանձին սենյակները օրական 15000-20000 դրամով։Տունը տրվում է նաև երկարաժամկետ վարձկալության։Дом в 600 метрах от озера Севан.Сдается посуточно полностью отремонтированный частный дом со всеми удобствами.Общая площадь 1200 кв. М. , жилая площадь: 110 кв. М. , количество спален: 3.В доме есть котельная (BAXI), стиральная машина. Обеспечены постоянной горячей и холодной водой.Возможна аренда отдельных комнат за 15 000-20 000 драм в сутки.Дом также доступен для долгосрочной аренды.House 600 meters from Lake Sevan.House for rent in Sevan.Total area 1200 sq. M. , living area: 110 sq. M. , number of bedrooms: 3.The house has a boiler room (BAXI), washing machine. Provided with constant hot and cold water.Separate rooms are also available for rent for 15,000-20,000 AMD per day.The house is also available for long-term rent.",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18153650,,,,,,
House,Stone,54 sq.m.,1,2,1,Major Renovation,472 sq.m.,Gegharkunik › Sevan,"23,000 ֏ daily",AMD,"New Year's prices are now available.A beautiful and comfortable cottage on the shore of Lake Sevan is for daily rent. They have 2 bedrooms, living room-kitchen. They have a pavilion and barbecue in the yard.Code Raymond5Translated from Armenian",Dec-12-2022_21-44,Available,2 spots,,,,https://list.am/en/item/17931355,8+,Yes,No,By Agreement,By Agreement,
Country House,Stone,100 sq.m.,1,2,1,Major Renovation,,Gegharkunik › Sevan,"180,000 ֏ monthly",AMD,"Частный дом, чистый новый, все окуратно, со всеми услугами.",Dec-12-2022_21-44,,,,,,https://list.am/en/item/17791116,,,,,,
House,Stone,74 sq.m.,1,2,1,Designer Renovation,150 sq.m.,Gegharkunik › Sevan,"25,000 ֏ daily",AMD,2 ննջասենյակհյուրասենյակսանհանգույցխոհանոցտաղավարմանղալ**4 անձ**check in 14:00check out 12:00Կոդ raymond2,Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/17765521,4,Yes,No,Included,By Agreement,
House,Stone,51 sq.m.,1,2,1,Designer Renovation,200 sq.m.,Gegharkunik › Sevan,"20,000 ֏ daily",AMD,2 ննջարանհյուրասենյակսանհանգույցբակային հատված**4 անձ**check in 14:00check out 12:00Կոդ arevik 5,Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/17286388,4,Yes,No,By Agreement,By Agreement,
House,Stone,150 sq.m.,2,4,2,Major Renovation,1800 sq.m.,Gegharkunik › Sevan,"100,000 ֏ daily",AMD,4 bedrooms2 bathroomskitchenliving roomyard sectionbalcony**8 people**check in 14:00:Check out 12:00:Code ArthurTranslated from Armenian,Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/17198431,7,Yes,No,Included,By Agreement,
House,Stone,64 sq.m.,1,3,1,Designer Renovation,120 sq.m.,Gegharkunik › Sevan,"45,000 ֏ daily",AMD,3 bedroomsbathroombalconyliving roomsmall kitchenlake view**6-7 people**Code angar3Translated from Armenian,Dec-12-2022_21-44,Available,Not available,,Fridge,,https://list.am/en/item/18075167,7,Yes,No,Included,By Agreement,"Television, barbecue oven, gazebo"
House,Stone,64 sq.m.,1,2,1,Designer Renovation,470 sq.m.,Gegharkunik › Sevan,"30,000 ֏ daily",AMD,"A private house in the city of Sevan is available for daily rent, which has two bedrooms, a comfortable kitchen, a bathroom, an open pavilion and a balcony. Designed for 4-5 people. For details, call the number indicated:Code RuDsevanTranslated from Armenian",Dec-12-2022_21-44,By agreement,Not available,,,,https://list.am/en/item/18076725,4,Yes,Yes,By Agreement,By Agreement,
House,Stone,300 sq.m.,1,1,1,Designer Renovation,530 sq.m.,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Glen House BNBA comfortable house for family vacation in Sevan. The mansion is equipped with all the necessary apartments for a comfortable stay. The option is provided with shared accommodation with the owner. The yard has a spacious and beautiful garden, a gazebo, a mangal and a mangal. The house has 1 bedroom, 1 bathroom, a fully equipped kitchen and a spacious living room.The price is for 2 guestsTranslated from Armenian",Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/18285540,2,Yes,No,By Agreement,By Agreement,
House,Stone,64 sq.m.,2,2,1,Designer Renovation,32 sq.m.,"Sayat Nova street, Sevan town","12,000 ֏ daily",AMD,"Central CottageNew Year's prices are now available.This small cottage is located in the center of Sevan city.It has one bedroom, living room, small kitchen equipped with all amenities.It also has a parking lot. Close to the public beach.For details, please call, specifying the name of the option: Central Cottage.Translated from Armenian",Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/16576599,5,Yes,Yes,By Agreement,By Agreement,
House,Stone,36 sq.m.,1,1,1,Designer Renovation,1200 sq.m.,Gegharkunik › Sevan,"60,000 ֏ daily",AMD,"A one-room cottage is for daily rent in the city of Sevan, which has all the utilities for both daily rent and monthly rent. For details, call with the code: Karen's House SevanTranslated from Armenian",Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/18517830,3,Yes,No,By Agreement,By Agreement,
House,Cassette,150 sq.m.,1,4,1,Cosmetic Renovation,1000 sq.m.,"Իսակովի փողոց 1, Ցամաքաբերդ","25,000 ֏ daily",AMD,"Վարձով է տրվում ամառանոց, առանձնատուն Սևանա լճի ափինԹերակղզու հարևանությամբ, Սևանա լճի հիանալի տեսարանով ։Հնարավոր է առանձին սենյակների վարձակալում ։Ամսական վարձակալության դեպքում կգործի 70 տոկոս զեղջСдается дача, частный дом на берегу озера СеванРядом с полуостровом, с прекрасным видом на озеро Севан.Возможна аренда отдельных комнат.70-процентная скидка будет применяться к ежемесячной арендеCottage for rent, private house on the shore of Lake SevanNear the peninsula, with a beautiful view of Lake Sevan.It is possible to rent individual rooms.70 percent discount will apply to monthly rentals",Dec-12-2022_21-44,Available,2 spots,,"Fridge, washing machine, drying machine, water Heater",,https://list.am/en/item/18696244,8+,Yes,Yes,Not included,By Agreement,"Television, barbecue oven, gazebo"
Country House,Stone,800 sq.m.,2,5,3+,Major Renovation,,Gegharkunik › Sevan,"300,000 ֏ daily",AMD,For daily rent in SyanEquipped with all utilitiesIndividual heating systemAir conditionerNecessary dishes and linen are availableEquipped with furniture and appliances5 bedrooms3 living roomsWardrobeOpen balconyBeautiful view of Lake SanaaBook in advanceThe cost varies depending on the number of days and peopleH. Գ. Please call 11: 00-20: 00Code 7760Translated from Armenian,Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/12758114,8+,Yes,No,By Agreement,By Agreement,
House,Stone,190 sq.m.,2,4,3+,Euro Renovation,,Gegharkunik › Tsovazard,"70,000 ֏ daily",AMD,"It is available for daily rent, it is also possible for a long term, for detailed information call...Translated from Armenian",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18344145,8+,Yes,No,Included,By Agreement,
House,Stone,96 sq.m.,1,3,1,Euro Renovation,5000 sq.m.,Gegharkunik › Sevan,$600 monthly,USD,"Я собственникЗдается вилла, коттедж на берегу озера Севан.В вилле есть все принадлежности для отдыха и организование пикника. В Вилле могут проживать до семьи человек и вилла включает из себя из двух спален и гостиной комнатой.Вилла сдаётся на длительный срок. Все подробности по телефону. Можете также позвонить на Viber, WhatsApp и TelegramՍեփականատերն եմ:Օրավարձով է տրվում երեք սենյականող առանձնատուն Սևանում: Առկա է անվճար ինտերնետ: Տարածքը պարսպապատ է և հսկվում է: Պատշգամբից բացվում է գեղեցիկ տեսարան դեպի Սևանա լիճը: Գիշերակաց հնարավոր է մինչև 7 անձի համար:Villa for rent in Sevan. From the terrace is opening a great view to the lake. The place is surrounded with different kind of trees. The Villa has all the necessary equipment's. The maximum capacity is for 7 person.",Dec-12-2022_21-44,Available,1 spot,,,,https://list.am/en/item/18447031,7,Yes,Yes,Not included,By Agreement,
Country House,Stone,55 sq.m.,1,3,1,Euro Renovation,,Gegharkunik › Sevan,"60,000 ֏ daily",AMD,"A country house with all amenities is for rent on the island of Sevan. There is constant hot and cold water. The kitchen is equipped with necessary spaak and pots. In the yard there is a barbecue, a pavilion (бессетка) and a swing.Translated from Armenian",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18120599,,,,,,
House,Stone,67 sq.m.,1,4,1,Major Renovation,1000 sq.m.,Gegharkunik › Sevan,"300,000 ֏ monthly",AMD,"A private house on the shore of Lake Sevan is for rent for a family holiday, both for daily rent - AMD 20,000 per day, and AMD 300,000 per month.There are:3 comfortable bedrooms, living room, bathroom.Constant hot and cold water, heating, WiFi, TV,refrigerator, grill.Translated from Armenian",Dec-12-2022_21-44,Available,Not available,,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18679384,8+,Yes,Yes,Not included,Without prepayment,"Television, internet, barbecue oven, gazebo, alarm system"
Townhouse,Stone,300 sq.m.,2,4,3+,Designer Renovation,2000 sq.m.,Gegharkunik › Sevan,"120,000 ֏ daily",AMD,"Daily or long-term guest house available. There are 4 bedrooms in the building, each with its own bathroom and bathtub. There is also a restaurant on the premises. For more information call...Translated from Armenian",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18377130,8+,Yes,No,Included,By Agreement,
House,Stone,120 sq.m.,1,4,2,Designer Renovation,200 sq.m.,"Yerevanyan highway, Սևան","30,000 ֏ daily",AMD,"Still haven't decided where to celebrate the New Year?We have free timeThe house will be available from #December 3️1️ to #January 0️5.Spend your vacation in a cozy and comfortable corner of Sevan.Lavender city umCottages for daily rent1 furnished living room,3 bedrooms2 bathroomsLarge kitchen with all necessary utensils,It has a balcony.It is equipped with necessary dishes and linen.With a heating systemPlayground.Summer pavilion.Necessary accessories for grilling and grilling.Swimming poolParking lot.Guard post.#resting zone #Lavandacity #Sevanalich#Севанумгафимянготи #day-rentals #houses #cottage #Sevanumcottage #day-rental #private-house #lake #rest #Armenia #Sevan #bisetka #grill #spit #fireplace#Apartments for rent#Дома отдыха:#sevan:#Hotel:Lavender cityLavender cityLavender CitySpecial New Year's package hurry, places are limitedTranslated from Armenian",Dec-12-2022_21-44,Available,1 spot,,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/16058954,8+,Yes,Yes,Included,Without prepayment,"Television, internet, fireplace, barbecue oven, gazebo"
Country House,Stone,60 sq.m.,1,3,1,Euro Renovation,,"Երևանյան խճուղի 3, Սևան","25,000 ֏ daily",AMD,"LAVANDA CITY offers a private house for daily rent for family vacations, as well as for organizing events.3 bedrooms, 1 dining room, 1 bathroom, kitchen.Constant hot and cold water, refrigerator, TV,barbecue, there is also a wooden chair and table in the yard.Translated from Armenian",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18009152,,,,,,
Country House,Stone,68 sq.m.,1,3,1,Designer Renovation,98 sq.m.,Gegharkunik › Lchashen,"22,500 ֏ daily",AMD,"A house is for rent in Lchashen village of Sevan. The house has all utilities (gas, electricity, water), is ready for occupancy. There is Wi-Fi, refrigerator, washing machine, hair dryer, iron, heating system. It is also suitable for holding small events.Translated from Armenian",Dec-12-2022_21-44,Available,Not available,,"Fridge, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18708195,5,Yes,Yes,By Agreement,By Agreement,"Internet, barbecue oven, gazebo"
House,Stone,300 sq.m.,2,5,2,Major Renovation,1000 sq.m.,Gegharkunik › Gavar,"250,000 ֏ monthly",AMD,Վարձով է տրվում երկհարկանի կապիտալ վերանորգված առանձնատուն Գավառում երկարաժամկետ։ Տրվում է ամբողջ գույքով և տեխնիկայով մանրամասների համար զանգել նշված համարով։ здаетсья в аренду 2-х этажный евро ремонтированный собственный дом в Гаваре. Долгосрочно! Здаеться вместе с мебелью и техникой. Для подробностей звонить по номеру.Translated from Armenian,Dec-12-2022_21-44,Available,2 spots,,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18449234,8+,Yes,No,Not included,1 month,"Television, internet, air conditioner, fireplace, barbecue oven"
House,Stone,130 sq.m.,1,4,1,Euro Renovation,50 sq.m.,"Mamikonyan street, Martuni","170,000 ֏ monthly",AMD,Four-room house in Martuni.Do not write mail-in.Translated from Armenian,Dec-12-2022_21-44,Available,1 spot,,,,https://list.am/en/item/18441761,4,Yes,No,Not included,1 month,
House,Stone,120 sq.m.,1,4,2,Euro Renovation,200 sq.m.,"Улица Саркиса Севанеци 21, Севан",$600 monthly,USD,"A detached house is for rent. It has all utilities.In case of questions, you can call the mentioned phone numbers.Translated from Armenian",Dec-12-2022_21-44,Available,3 or more spots,,"Fridge, stove, microwave, dishwasher, washing machine, drying machine",,https://list.am/en/item/18484243,7,Yes,Yes,By Agreement,By Agreement,"Television, internet, air conditioner, sauna, barbecue oven, gazebo, alarm system"
Country House,Bricks,30 sq.m.,1,3,1,Designer Renovation,50 sq.m.,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,The cabin is located on the shore of Sevan near Harnskar. It has been fully renovated. It has 2 bedrooms and 1 living room. It is located 30 m from the shore in the forest area. It is very suitable for organizing family vacations.Translated from Armenian,Dec-12-2022_21-44,,,,,,https://list.am/en/item/18094514,,,,,,
Country House,Stone,100 sq.m.,1,3,1,Euro Renovation,3000 sq.m.,Gegharkunik › Martuni,"15,000 ֏ daily",AMD,"Добро пожаловать в семейный гостевой дом Alexun️ ️С одной стороны, погруженный в лес, с другой-окруженный величественными горами, наш теплый гостевой дом наполнит ваш день самыми загадочными и яркими воспоминаниями:Успокоит и наполнит ваш разум и тело новой положительной энергией:Проведите свой отдых на природе, и мы с радостью вас встретим️В гостевом доме есть:3-4 комнаты для душа 15000 ДР (1 человек/день) + ЭКО завтрак в номере: Душ, ванная комната, предметы гигиеныКорпоративный зал для организации мероприятий (25-30 человек - 50 000 драмов), также могут проводиться конференции (зал имеет проректор)Вкусная кухняПарковка, Wi-Fi бесплатноЧитальный зал, также можно провести просмотр фильма, фортепианоМастер-классы-сырное дело, изготовление свечей из натурального пчелиного воска, рыбалка в прудах гостевого домаКампании:Монастырь хамши (9_12 век Красного Ехца)Темное ущелье, Ущелье Дзаг (обладает целебными свойствами),Девичья крепостьСад с фруктовыми деревьями, огород, питомник",Dec-12-2022_21-44,,,,,,https://list.am/en/item/18383737,,,,,,
Townhouse,Stone,90 sq.m.,1,1,1,Designer Renovation,,Gegharkunik › Gavar,"50,000 ֏ daily",AMD,"Арендуйте уютные коттеджи на берегу озера Севан. Комфортабельный коттедж предлагает уютный дом для проведения отдыха. Коттедж на берегу озера Севан, шикарный дизайн,   большая гостиная,   1 спальная комната, оборудован всеми техническими и коммунальными удобствами, кухня со всеми удобствами для приготовления пищи на месте.Идеально для семейного отдыха и для мероприятия. Это наилучшее место для супружеских пар, активных групп и семей.Коттеджи Gexama Ashxarh удобны для проживание до 4 человек. Заплатите 50.000 за день.Для подробностей и бронирование можете написать или позвонить",Dec-12-2022_21-44,,,,,,https://list.am/en/item/17800470,,,,,,
House,Stone,64 sq.m.,1,3,1,Designer Renovation,112 sq.m.,Gegharkunik › Sevan,"40,000 ֏ daily",AMD,"Angar SevanThree-bedroom stone cottages on the shores of Lake Sevan for daily rent, with a beautiful view of the lake, a coastal area, for 6 people.Code Angar:Translated from Armenian",Dec-12-2022_21-44,Available,Not available,,,,https://list.am/en/item/18189653,6,Yes,No,By Agreement,By Agreement,
Country House,Bricks,100 sq.m.,1,3,1,Designer Renovation,500 sq.m.,Gegharkunik › Sevan,"35,000 ֏ daily",AMD,"Guest House (Cabin) is for daily rent. The guest house is located on the shore of Lake Sevan, in the village of Tsovazard. It has communal facilities, a kitchen with its own kitchen utensils, a bathroom, two bedrooms, a large living room for 10 people, a toaster, a grill and a fireplace in the living room. For more information call: Discounts apply for long term rentals.Translated from Armenian",Dec-12-2022_21-44,,Not available,,,,https://list.am/en/item/17866926,8+,Yes,Yes,By Agreement,By Agreement,
House,Stone,70 sq.m.,1,3,1,Cosmetic Renovation,500 sq.m.,Gegharkunik › Sevan,$500 monthly,USD,Վարձով է տրվում քոթեջ Սևանա լճի ափինԳինը ենթակա է սակարկման կախված վարձակալության ժամկետից ։Այլ հարցերի համար զանգահարելСдается коттедж на берегу озера СеванЦена обсуждается в зависимости от срока аренды.Звоните по другим вопросамA cottage on the shore of Lake Sevan is for rentThe price is subject to negotiation depending on the rental period.Call for other questions,Dec-12-2022_21-44,,,,,,https://list.am/en/item/18508049,6,Yes,Yes,By Agreement,1 month,
House,Stone,3000 sq.m.,1,3,1,Old Renovation,2800 sq.m.,Gegharkunik › Shoghakat,"25,000 ֏ monthly",AMD,"It is close to Lake Sevan, has a large plot of land, has an orchard, 2 storerooms, a barn.Translated from Armenian",Dec-12-2022_21-44,Available,1 spot,,,,https://list.am/en/item/18242673,1,Yes,Yes,Included,Without prepayment,
House,Stone,100 sq.m.,1,2,1,Major Renovation,900 sq.m.,Gegharkunik › Sevan,"150,000 ֏ daily",AMD,"3-ех комнатный дом от собственника на 6-7 человек могут свободно жить, очень выгодна для две семи, вся техника и мебель новая, расход на отоплений на хозяина, wi fi, огород, беседка мангал во дворе, место для парковки машины, спокойный район на длительный срок можно и скидку.",Dec-12-2022_21-44,Available,1 spot,,,,https://list.am/en/item/17886978,7,Yes,Yes,Not included,Without prepayment,
